user_id,total_spent,transaction_count,avg_transaction_value,days_since_last_purchase,registration_date,city
U04914,17075.35,15,1138.3566666666666,276,20221118,Lille
U02933,6142.49,12,511.87416666666667,269,20230602,Marseille
U00548,13763.240000000002,15,917.5493333333335,301,20230519,Strasbourg
U03847,11173.3,12,931.1083333333332,287,20230417,Nîmes
U06731,1397.8600000000001,8,174.73250000000002,320,20230803,Grenoble
U07954,2213.25,8,276.65625,527,20220610,Nîmes
U05733,2823.7,11,256.7,308,20220124,Lille
U05258,946.56,8,118.32,374,20220911,Lille
U06857,4954.889999999999,12,412.90749999999997,276,20240508,Villeurbanne
U06553,3577.55,18,198.7527777777778,456,20220815,Bordeaux
U03503,747.8299999999999,9,83.09222222222222,276,20231219,Lille
U08680,5994.740000000001,14,428.19571428571436,427,20240308,Lyon
U07834,3649.94,13,280.7646153846154,364,20220810,Reims
U03688,3380.66,13,260.0507692307692,268,20220415,Angers
U08073,1482.35,14,105.88214285714285,296,20240727,Nice
U00107,5920.54,7,845.7914285714286,442,20240715,Toulouse
U03026,3671.27,11,333.7518181818182,459,20220908,Strasbourg
U02468,953.82,12,79.485,294,20240730,Rennes
U05878,9692.380000000001,12,807.6983333333334,306,20240506,Nantes
U05110,5724.45,7,817.7785714285714,289,20220814,Toulouse
U07132,1559.32,12,129.94333333333333,430,20221015,Lille
U03690,5195.21,10,519.521,297,20221126,Dijon
U03438,3363.5200000000004,9,373.7244444444445,448,20220501,Nantes
U05127,9130.8,14,652.1999999999999,323,20220108,Paris
U06073,4526.4400000000005,8,565.8050000000001,440,20241116,Marseille
U04243,2973.42,10,297.342,330,20230815,Dijon
U09015,4045.55,13,311.19615384615383,353,20240312,Villeurbanne
U09892,7938.53,11,721.6845454545454,323,20231106,Lyon
U08036,2228.24,4,557.06,300,20220329,Dijon
U04245,10492.579999999998,13,807.1215384615383,287,20241011,Paris
U00259,10879.36,9,1208.8177777777778,332,20220507,Strasbourg
U01137,2794.1,8,349.2625,317,20240229,Nice
U07019,1433.48,9,159.27555555555557,364,20220824,Saint-Etienne
U09030,367.8299999999999,6,61.304999999999986,727,20230412,Villeurbanne
U08542,1391.43,10,139.143,410,20240331,Grenoble
U04606,2460.74,10,246.07399999999998,267,20230105,Bordeaux
U06228,623.1,8,77.8875,273,20230510,Nîmes
U07290,2348.23,8,293.52875,299,20220321,Paris
U00239,3121.05,6,520.1750000000001,301,20220617,Lyon
U00746,4270.48,11,388.2254545454545,270,20240415,Nice
U08294,1223.8899999999999,9,135.98777777777775,296,20240501,Lyon
U06300,2003.7500000000002,7,286.25000000000006,413,20220523,Dijon
U05764,613.76,7,87.67999999999999,284,20230724,Toulon
U01343,2059.7799999999997,10,205.97799999999998,289,20220911,Grenoble
U05750,3350.17,11,304.5609090909091,282,20221010,Saint-Etienne
U07239,6778.17,12,564.8475,363,20231214,Montpellier
U01761,4491.74,10,449.174,383,20220517,Villeurbanne
U07039,1166.18,13,89.70615384615385,273,20240522,Grenoble
U06849,7076.549999999999,16,442.28437499999995,352,20240729,Nîmes
U00682,8105.54,13,623.503076923077,352,20220905,Villeurbanne
U03200,3007.09,8,375.88625,328,20220104,Lille
U02140,28533.129999999997,16,1783.3206249999998,345,20240517,Saint-Etienne
U03981,10239.890000000001,15,682.6593333333334,376,20241201,Saint-Etienne
U06470,6145.259999999999,9,682.8066666666666,300,20240401,Toulon
U01492,429.47,8,53.68375,397,20220125,Lille
U09241,2292.2,9,254.68888888888887,476,20220524,Toulouse
U00985,714.2099999999999,7,102.02999999999999,276,20241011,Lille
U04630,2136.9700000000003,13,164.3823076923077,274,20220418,Nice
U09338,3281.98,13,252.46,292,20231222,Strasbourg
U02139,9437.59,13,725.9684615384615,346,20230625,Reims
U04892,3992.91,12,332.7425,272,20220513,Rennes
U07166,2662.8199999999997,12,221.90166666666664,294,20230915,Lille
U00975,960.03,12,80.0025,288,20240514,Montpellier
U05607,4175.01,8,521.87625,313,20221222,Reims
U00536,2302.7,12,191.89166666666665,306,20221021,Saint-Etienne
U05956,2532.38,11,230.21636363636364,277,20230220,Nîmes
U00403,2073.2799999999997,12,172.7733333333333,299,20231005,Saint-Etienne
U08173,13216.449999999999,18,734.2472222222221,314,20230602,Montpellier
U07898,2792.4299999999994,13,214.80230769230764,329,20220426,Lyon
U03579,8195.64,14,585.4028571428571,301,20230817,Bordeaux
U01796,3604.13,13,277.2407692307692,301,20240630,Reims
U00165,5117.46,11,465.2236363636364,317,20240721,Villeurbanne
U08014,2022.7799999999997,13,155.59846153846152,313,20240518,Strasbourg
U02673,4298.04,11,390.7309090909091,274,20230426,Nice
U04868,4218.74,12,351.56166666666667,365,20220313,Strasbourg
U07479,2000.91,16,125.056875,287,20230303,Reims
U03686,943.5899999999999,5,188.718,359,20230421,Strasbourg
U06210,2697.1099999999997,12,224.75916666666663,288,20230412,Bordeaux
U09671,10442.95,12,870.2458333333334,402,20220901,Montpellier
U04776,6000.37,8,750.04625,321,20220625,Montpellier
U09233,969.51,7,138.50142857142856,276,20230709,Angers
U01447,9573.69,9,1063.7433333333333,414,20230708,Toulon
U06560,2406.76,9,267.4177777777778,270,20230112,Nîmes
